lecture_id,r_id,degree
90,158,0.3415655038
90,121,0.2884134695
90,19,0.2663952577
90,71,0.2326871397
90,585,0.2161581954
90,7,0.2132402256
90,231,0.2132402256
90,760,0.2004031333
90,591,0.1955993037
91,147,0.3982236598
91,278,0.2689731721
91,617,0.178409651
91,411,0.1336928324
91,69,0.1259011104
91,552,0.1259011104
91,68,0.120389792
91,151,0.120389792
91,384,0.1203839825
92,397,0.306330512
92,682,0.1716107742
92,68,0.1695110201
92,151,0.1695110201
92,36,0.1641468
92,585,0.1616572411
92,717,0.1616193666
92,177,0.1607289774
92,30,0.1604268714
93,429,0.2212671884
93,6,0.1785053938
93,286,0.1785053938
93,444,0.1659064435
93,448,0.159675208
93,90,0.1315487152
93,102,0.1309952951
93,180,0.1309952951
93,158,0.1238923395
94,335,0.9941446065
94,165,0.215483529
94,581,0.1760583538
94,741,0.1760583538
94,330,0.1505452881
94,447,0.1505452881
94,684,0.1505452881
94,60,0.1370464045
94,22,0.1308254326
95,352,0.2390777944
95,198,0.1981669715
95,743,0.1978345734
95,466,0.1903596563
95,536,0.1854315224
95,50,0.179313396
95,247,0.1787310261
95,279,0.1695228144
95,309,0.1689686019
96,365,0.922154359
96,610,0.922154359
96,359,0.4156141161
96,274,0.3238051198
96,529,0.3238051198
96,458,0.2902941969
96,224,0.2550261196
96,236,0.2187190258
96,545,0.2187190258
97,128,0.4719954458
97,474,0.3366550677
97,273,0.2074163429
97,536,0.2071449717
97,118,0.1833430023
97,710,0.1823524421
97,762,0.1770934827
97,198,0.1742848889
97,175,0.1716905287
98,102,0.2712203556
98,180,0.2712203556
98,625,0.2339599255
98,360,0.2130430671
98,764,0.1932704903
98,736,0.1876796456
98,358,0.1833013991
98,511,0.1799140703
98,54,0.1788875881
99,157,0.7469793508
99,299,0.3087209476
99,136,0.3051089557
99,323,0.3031142554
99,730,0.1787301018
99,437,0.1563159987
99,325,0.1456166195
99,354,0.1406537496
99,497,0.1382597787
100,307,0.2904812346
100,570,0.2904812346
100,670,0.2326777066
100,740,0.1827093783
100,496,0.1509131231
100,563,0.1498966335
100,395,0.1396483216
100,596,0.1387816515
100,353,0.1362509385
101,598,0.1716610126
101,699,0.1493104941
101,593,0.1415209459
101,326,0.1412335513
101,725,0.1188612476
101,431,0.1011026139
101,139,0.09870780497
101,88,0.09601129663
101,78,0.09586423447
102,181,0.4923975196
102,487,0.4923975196
102,360,0.337219445
102,283,0.2933993443
102,98,0.2712203556
102,211,0.2521385999
102,2,0.2419498396
102,736,0.2230802403
102,719,0.2108406064
103,74,0.2264345461
103,251,0.2038232386
103,726,0.1983698767
103,318,0.1531665529
103,633,0.1531665529
103,314,0.1478470863
103,480,0.1438045265
103,339,0.1238620668
103,209,0.123772415
104,139,0.703759403
104,604,0.5249585653
104,716,0.3607413952
104,743,0.2034496818
104,699,0.1518585397
104,746,0.1496643143
104,611,0.148084755
104,212,0.1458862191
104,509,0.1394009819
105,746,0.4370463452
105,34,0.4035061759
105,362,0.4035061759
105,428,0.4035061759
105,577,0.3482807511
